country,trade.balance,exports,imports,Region,trade.status
Marshall Islands,80200000,94700000,14500000,Oceania,Great
Martinique,208400000,290600000,82200000,na,Great
Mauritania,47800000,149200000,101400000,Sub-Sharan Africa,Good
Mauritius,-3.66E+08,35200000,401200000,Sub-Sharan Africa,Bad
Mayotte,12200000,12200000,0,na,Good
Mexico,-53825400000,2.40E+11,2.94E+11,Americas,Bad
Micronesia,41100000,41500000,4.00E+05,na,Great
Moldova,-1.00E+05,35300000,35400000,Europe,Bad
Monaco,95500000,127600000,32100000,Europe,Great
Mongolia,152700000,167500000,14800000,East Asia,Great
Montenegro,15500000,18200000,2700000,Europe,Great
Montserrat,8500000,9200000,7.00E+05,na,Great
Morocco,1110100000,2102200000,992100000,North Africa,Great
Mozambique,275300000,375200000,99900000,Sub-Sharan Africa,Great
Namibia,86500000,342700000,256200000,Sub-Sharan Africa,Good
Nauru,2.00E+05,8.00E+05,6.00E+05,Oceania,Good
Nepal,-50300000,36300000,86600000,South Asia,Bad
Netherlands,2.23E+10,43075200000,20818200000,Europe,Great
New Caledonia,36500000,121200000,84700000,na,Good
New Zealand,2.79E+08,4257700000,3978700000,Oceania,Ok
Nicaragua,-2.10E+09,1008600000,3103600000,Americas,Bad
Niger,53900000,58500000,4600000,Sub-Sharan Africa,Great
Nigeria,2128600000,5967800000,3839200000,Sub-Sharan Africa,Good
Niue,-1.00E+05,1.00E+05,2.00E+05,na,Bad
Norfolk Island,8.00E+05,8.00E+05,0,na,Good
Norway,-935900000,4421600000,5357500000,Europe,Bad
Oman,1039800000,2015900000,976100000,West Asia,Great
Pakistan,-2159600000,1512100000,3671700000,South Asia,Bad
Palau,2.00E+07,20500000,5.00E+05,Oceania,Great
Panama,10036400000,10467300000,430900000,Americas,Great
Papua New Guinea,43100000,143200000,100100000,Oceania,Good
Paraguay,1919100000,2115600000,196500000,Americas,Great
Peru,3976900000,10053600000,6076700000,Americas,Good
Philippines,-1690600000,8453300000,10143900000,Southeast Asia,Bad
Pitcairn Islands,0,1.00E+05,1.00E+05,na,Ok
Poland,-1491800000,3660300000,5152100000,Europe,Bad
Portugal,-2073400000,1135600000,3.21E+09,Europe,Bad
Qatar,3431300000,5173400000,1742100000,West Asia,Great
Reunion,-5200000,11100000,16300000,na,Bad
Romania,-1125400000,977500000,2102900000,Europe,Bad
Russia,-12905300000,10752800000,23658100000,Europe,Bad
Rwanda,-19500000,21200000,40700000,Sub-Sharan Africa,Bad
Samoa,17700000,22900000,5200000,Oceania,Great
San Marino,-5.00E+05,6.00E+06,6500000,Europe,Bad
Sao Tome and Principe,1.00E+05,1100000,1.00E+06,na,Ok
Saudi Arabia,-28335900000,18704900000,47040800000,West Asia,Bad
Senegal,147200000,172600000,25400000,Sub-Sharan Africa,Great
Serbia,-143900000,135100000,2.79E+08,Europe,Bad
Seychelles,8600000,12700000,4100000,Sub-Sharan Africa,Great
Sierra Leone,59200000,87900000,28700000,Sub-Sharan Africa,Great
Singapore,13811200000,30237300000,16426100000,Southeast Asia,Good
Sint Maarten,732600000,782100000,49500000,na,Great
Slovakia,-1.66E+09,445100000,2100100000,Europe,Bad
Slovenia,-398100000,301200000,699300000,Europe,Bad
Solomon Islands,-2100000,6600000,8700000,Oceania,Bad
Somalia,35200000,35700000,5.00E+05,Sub-Sharan Africa,Great
South Africa,-1948100000,6369700000,8317800000,Sub-Sharan Africa,Bad
South Sudan,46500000,46600000,1.00E+05,Sub-Sharan Africa,Great
Spain,-4215900000,10200300000,14416200000,Europe,Bad
Sri Lanka,-2325700000,350300000,2.68E+09,South Asia,Bad
St Helena,-8600000,5.00E+05,9100000,na,Bad
St Kitts and Nevis,128700000,184600000,55900000,na,Great
St Lucia,675500000,693800000,18300000,na,Great
St Pierre and Miquelon,0,0,0,na,Bad
St Vincent and the Grenadines,102200000,103600000,1400000,na,Great
Sudan,65300000,77200000,11900000,North Africa,Great
Suriname,6.60E+07,518600000,452600000,Caribbean,Good
"Svalbard, Jan Mayen Island",3400000,3400000,0,na,Good
Swaziland,-55800000,25700000,81500000,Sub-Sharan Africa,Bad
Sweden,-5926300000,4.34E+09,10266300000,Europe,Bad
Switzerland,-9014700000,22175900000,31190600000,Europe,Bad
Syria,-5600000,6800000,12400000,West Asia,Bad
Taiwan,-13911300000,26670200000,40581500000,East Asia,Bad
Tajikistan,20900000,24500000,3600000,Central Asia,Great
Tanzania,216100000,302200000,86100000,Sub-Sharan Africa,Great
Thailand,-15312800000,11809800000,27122600000,Southeast Asia,Bad
Timor-Leste,1100000,1300000,2.00E+05,na,Great
Togo,1015600000,1024700000,9100000,Sub-Sharan Africa,Great
Tokelau,5.00E+05,1300000,8.00E+05,na,Good
Tonga,17300000,2.00E+07,2700000,Oceania,Great
Trinidad and Tobago,-3.58E+09,2.41E+09,6.00E+09,Caribbean,Bad
Tunisia,310500000,831400000,520900000,North Africa,Good
Turkey,4288400000,11645400000,7.36E+09,Europe,Good
Turkmenistan,435300000,455500000,20200000,Central Asia,Great
Turks and Caicos Islands,273600000,281900000,8300000,na,Great
Tuvalu,5.00E+05,6.00E+05,1.00E+05,Oceania,Great
Uganda,32400000,78300000,45900000,Sub-Sharan Africa,Good
Ukraine,305800000,1239800000,9.34E+08,Europe,Good
United Arab Emirates,19255100000,22069300000,2814200000,West Asia,Great
United Kingdom,-568900000,53823400000,54392300000,Europe,Bad
Uruguay,1149500000,1605800000,456300000,Americas,Great
Uzbekistan,198500000,212900000,14400000,Central Asia,Great
Vanuatu,14100000,21200000,7100000,Oceania,Great
Vatican City,1800000,2600000,8.00E+05,Europe,Great
Venezuela,-19081500000,11137700000,30219200000,Americas,Bad
Vietnam,-24854100000,5734400000,30588500000,Southeast Asia,Bad
Wallis and Futuna,4.00E+05,4.00E+05,0,na,Good
West Bank Administered by Israel,-2600000,1800000,4400000,NA,Bad
Western Sahara,2.00E+05,3.00E+05,1.00E+05,Sub-Sharan Africa,Great
Yemen,327700000,368900000,41200000,West Asia,Great
Zambia,58500000,114100000,55600000,Sub-Sharan Africa,Great
Zimbabwe,-16200000,48700000,64900000,Sub-Sharan Africa,Bad
Unidentified,1.00E+05,1.00E+05,0,na,Good
